ZipCode	Population	PersonsPerHousehold	AverageHouseValue	IncomePerHousehold	State	City	CountyName	popden	electricity (kWh)	Nat. Gas (cu.ft.)	FUELOIL (gallons)	Vehicle miles traveled	Transport (tCO2e/yr)	Housing (tCO2e/yr)	Food (tCO2e/yr)	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	HouseholdsPerZipCode	Total Zip Code Carbon Footprint (tCO2e/yr)
7001	14188	2.78	142500	55468	NJ	AVENEL	MIDDLESEX	4346.94424	8636.482954	64461.74619	129.8381152	20703	14.8820472	13.00332015	8.34	6.122306682	6.941068869	49.2887429	4739	233579.3526
7002	61842	2.42	155600	41566	NJ	BAYONNE	HUDSON	10977.81786	7481.562501	60613.76919	193.1241372	13767	10.14442944	12.92829723	7.26	5.102460753	5.719208835	41.15439626	26826	1104007.834
7003	47630	2.48	164500	53225	NJ	BLOOMFIELD	ESSEX	8949.777524	8279.751421	64447.12533	202.205208	17778	13.07065267	13.7958975	7.44	5.871295507	6.731369964	46.90921563	19492	914354.4311
7004	7063	3.04	274800	83120	NJ	FAIRFIELD	ESSEX	674.4566747	13678.27556	89345.51941	102.0348853	32846	23.40773117	17.69858496	9.12	7.987841984	9.347752176	67.56191029	2326	157149.0033
7005	15044	2.65	249200	75762	NJ	BOONTON	MORRIS	965.6448295	10197.70408	57435.322	337.9407031	26078	19.04515232	16.45247762	7.95	7.380344858	8.691214375	59.51918918	5669	337414.2834
7006	26192	2.61	284000	82196	NJ	CALDWELL	ESSEX	2829.584411	11597.3066	84583.79658	97.3951751	24550	18.38041466	16.06808768	7.83	7.77491964	9.245458986	59.29888097	9548	566185.7155
7008	20709	2.88	135500	47148	NJ	CARTERET	MIDDLESEX	4737.917156	9436.594734	62671.02372	207.4212954	19286	13.64562328	14.4653848	8.64	5.62470253	6.226193316	48.60190393	7320	355765.9367
7009	12300	2.57	237600	78863	NJ	CEDAR GROVE	ESSEX	2913.115961	11661.22115	87529.97271	74.86849629	24761	18.38515895	15.95701458	7.71	7.54696394	8.954922696	58.55406016	4470	261736.6489
7010	23007	2.29	227500	46288	NJ	CLIFFSIDE PARK	BERGEN	23847.67836	7152.855367	49557.82589	88.95882123	15102	11.19188817	10.57434175	6.87	5.35869581	6.121132432	40.11605817	10375	416204.1035
7011	36979	2.8	162400	43850	NJ	CLIFTON	PASSAIC	11649.6113	8201.25696	67928.16277	162.2857449	17385	12.36009993	13.43283571	8.4	5.388267904	5.937128652	45.51833219	13512	615043.7046
7012	12179	2.23	188200	49873	NJ	CLIFTON	PASSAIC	5133.275927	8473.523078	68179.126	139.2513774	19128	13.82992204	13.33858577	6.69	5.567063843	6.42828678	45.85385844	5584	256047.9455
7013	24721	2.52	195100	60118	NJ	CLIFTON	PASSAIC	5762.198199	10012.04083	76992.79683	96.28056605	21475	15.61446772	14.4305599	7.56	6.327461776	7.330011942	51.26250133	10023	513804.0509
7014	4442	2.53	169900	58359	NJ	CLIFTON	PASSAIC	3461.286115	9505.295787	76759.12552	84.81112501	21705	15.69722263	13.88995603	7.59	6.196831728	7.17518074	50.54919113	1798	90887.44565
7016	22578	2.62	233600	76338	NJ	CRANFORD	UNION	4681.542906	10993.66878	74124.15219	221.0121855	24548	18.13820855	16.55504853	7.86	7.402972056	8.738988514	58.69521765	8560	502431.0631
7017	39466	2.64	126600	33418	NJ	EAST ORANGE	ESSEX	16739.21628	6911.448901	56387.19844	219.8155668	11452	8.331443414	12.4697136	7.92	4.658772784	5.025449292	38.40537909	16081	617596.9011
7018	30433	2.63	114600	31536	NJ	EAST ORANGE	ESSEX	19430.90864	6758.707482	56882.99426	231.1511036	10627	7.749963478	12.56190959	7.89	4.534554692	4.862049534	37.5984773	12422	467048.285
7020	7677	2	283900	63455	NJ	EDGEWATER	BERGEN	8408.497215	7042.847631	45030.43167	58.01092454	15601	12.27435516	9.811046515	6	6.355519261	7.591821062	42.032742	4277	179774.0375
7021	2151	2.93	586300	149386	NJ	ESSEX FELLS	ESSEX	1631.401792	15463.11863	108956.7039	122.6231015	33614	26.60626146	20.4957127	8.79	12.19644769	15.07713445	83.1655563	757	62956.32612
7022	13255	2.73	179900	40393	NJ	FAIRVIEW	BERGEN	15585.49978	7596.938723	57637.58483	113.9239831	15579	11.13005822	11.63954215	8.19	5.138066538	5.633783922	41.73145083	4988	208156.4767
7023	7174	2.76	224300	85233	NJ	FANWOOD	UNION	5363.365388	12274.73009	84248.07478	164.2328469	27132	20.0529352	17.24707017	8.28	8.023216616	9.516088339	63.11931032	2615	165056.9965
7024	35461	2.14	287000	58161	NJ	FORT LEE	BERGEN	14374.68635	6854.206426	48684.73202	124.5074837	15066	11.69262529	10.67606301	6.42	6.066190853	7.140912011	41.99579117	17446	732658.5727
