State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
NY	BRONX	BRONX	 large 	" 1,327,690 "	" 5,245 "	" 35,475 "	 280 	" 8,680 "	 6 	 10 	 8 	 4 	 5 	 34 	" 493,639 "	" 16,582,895 "								
NY	KINGS	BROOKLYN	 large 	" 2,465,326 "	" 5,892 "	" 46,574 "	 199 	" 9,029 "	 7 	 10 	 8 	 5 	 5 	 35 	" 930,866 "	" 32,327,808 "								
CA	LOS ANGELES	LOS ANGELES	 large 	" 2,355,988 "	" 5,593 "	" 30,445 "	 0 	" 14,832 "	 10 	 6 	 9 	 5 	 5 	 35 	" 842,964 "	" 29,884,628 "								
NY	ERIE	BUFFALO	 large 	" 598,640 "	" 7,510 "	" 78,366 "	 11 	" 15,161 "	 11 	 10 	 7 	 5 	 5 	 38 	" 278,995 "	" 10,536,789 "								
DC	DISTRICT OF COLUMBIA	WASHINGTON	 large 	" 566,825 "	" 9,085 "	" 49,191 "	 47 	" 11,953 "	 9 	 11 	 7 	 5 	 6 	 38 	" 273,395 "	" 10,327,728 "								
PA	PHILADELPHIA	PHILADELPHIA	 large 	" 1,517,884 "	" 9,812 "	" 68,562 "	 73 	" 11,485 "	 8 	 13 	 8 	 4 	 5 	 38 	" 661,606 "	" 25,471,655 "								
CA	SAN FRANCISCO	SAN FRANCISCO	 large 	" 776,733 "	" 5,217 "	" 37,417 "	 1 	" 14,754 "	 11 	 7 	 7 	 6 	 7 	 39 	" 346,527 "	" 13,443,701 "								
MD	BALTIMORE CITY	BALTIMORE	 large 	" 660,665 "	" 10,331 "	" 59,503 "	 125 	" 13,118 "	 9 	 14 	 7 	 4 	 5 	 40 	" 302,508 "	" 12,037,506 "								
CA	SACRAMENTO	SACRAMENTO	 large 	" 689,479 "	" 6,791 "	" 39,514 "	 0 	" 19,694 "	 14 	 8 	 8 	 5 	 6 	 40 	" 274,789 "	" 11,039,447 "								
CA	FRESNO	FRESNO	 large 	" 503,594 "	" 7,480 "	" 40,250 "	 0 	" 19,428 "	 13 	 8 	 9 	 5 	 5 	 41 	" 175,631 "	" 7,142,670 "								
FL	HILLSBOROUGH	TAMPA	 large 	" 633,619 "	" 10,497 "	" 14,135 "	 6 	" 18,205 "	 13 	 11 	 7 	 5 	 6 	 41 	" 278,428 "	" 11,453,006 "								
WA	KING	SEATTLE	 large 	" 785,948 "	" 9,390 "	" 34,993 "	 81 	" 18,697 "	 13 	 10 	 7 	 5 	 6 	 42 	" 361,581 "	" 15,179,506 "								
OR	MULTNOMAH	PORTLAND	 large 	" 576,062 "	" 10,059 "	" 38,129 "	 96 	" 18,918 "	 13 	 11 	 7 	 5 	 6 	 42 	" 340,789 "	" 14,436,736 "								
CA	SAN DIEGO	SAN DIEGO	 large 	" 1,144,763 "	" 6,569 "	" 32,504 "	 0 	" 21,496 "	 15 	 7 	 8 	 6 	 6 	 43 	" 439,299 "	" 18,674,513 "								
FL	BROWARD	FORT LAUDERDALE	 large 	" 731,776 "	" 11,723 "	" 13,879 "	 1 	" 18,531 "	 13 	 11 	 8 	 5 	 6 	 43 	" 330,200 "	" 14,244,491 "								
FL	DUVAL	JACKSONVILLE	 large 	" 723,960 "	" 10,285 "	" 16,002 "	 36 	" 19,728 "	 14 	 11 	 8 	 5 	 6 	 43 	" 304,138 "	" 13,152,575 "								
GA	FULTON	ATLANTA	 large 	" 661,208 "	" 12,241 "	" 37,961 "	 1 	" 16,614 "	 12 	 14 	 7 	 5 	 6 	 44 	" 382,154 "	" 16,762,844 "								
OH	CUYAHOGA	CLEVELAND	 large 	" 878,610 "	" 10,283 "	" 72,860 "	 1 	" 15,329 "	 11 	 16 	 7 	 5 	 5 	 44 	" 393,202 "	" 17,281,257 "								
FL	ORANGE	ORLANDO	 large 	" 698,916 "	" 11,076 "	" 14,988 "	 10 	" 20,071 "	 14 	 11 	 8 	 5 	 6 	 44 	" 280,666 "	" 12,337,771 "								
CO	DENVER	DENVER	 large 	" 552,435 "	" 7,747 "	" 55,777 "	 1 	" 17,361 "	 12 	 14 	 7 	 5 	 6 	 44 	" 398,934 "	" 17,627,728 "								
NV	CLARK	LAS VEGAS	 large 	" 1,030,452 "	" 9,639 "	" 32,759 "	 0 	" 19,561 "	 14 	 11 	 8 	 5 	 6 	 44 	" 427,726 "	" 18,900,805 "								
FL	MIAMI-DADE	MIAMI	 large 	" 1,567,681 "	" 12,808 "	" 14,263 "	 1 	" 19,296 "	 13 	 12 	 9 	 5 	 6 	 45 	" 575,933 "	" 25,671,970 "								
TX	DALLAS	DALLAS	 large 	" 1,194,252 "	" 10,768 "	" 31,475 "	 0 	" 20,316 "	 14 	 12 	 8 	 5 	 6 	 45 	" 511,077 "	" 22,827,767 "								
WI	MILWAUKEE	MILWAUKEE	 large 	" 821,015 "	" 9,061 "	" 70,992 "	 26 	" 16,962 "	 12 	 15 	 7 	 5 	 5 	 45 	" 350,661 "	" 15,700,521 "								
PA	ALLEGHENY	PITTSBURGH	 large 	" 736,800 "	" 10,482 "	" 74,022 "	 4 	" 15,647 "	 11 	 17 	 7 	 5 	 5 	 45 	" 343,902 "	" 15,427,253 "								
IL	COOK	CHICAGO	 large 	" 2,878,545 "	" 9,834 "	" 74,395 "	 4 	" 14,359 "	 10 	 16 	 8 	 5 	 5 	 45 	" 1,146,991 "	" 51,727,669 "								
AZ	PIMA	TUCSON	 large 	" 789,743 "	" 11,942 "	" 29,471 "	 0 	" 20,913 "	 14 	 13 	 8 	 5 	 6 	 45 	" 339,098 "	" 15,316,634 "								
OH	FRANKLIN	COLUMBUS	 large 	" 769,452 "	" 10,337 "	" 60,120 "	 3 	" 17,381 "	 12 	 15 	 7 	 5 	 6 	 45 	" 350,412 "	" 15,856,562 "								
AZ	MARICOPA	PHOENIX	 large 	" 1,211,093 "	" 11,695 "	" 27,367 "	 0 	" 20,350 "	 14 	 12 	 9 	 5 	 6 	 46 	" 455,852 "	" 20,836,387 "								
NM	BERNALILLO	ALBUQUERQUE	 large 	" 535,914 "	" 12,114 "	" 39,473 "	 0 	" 21,222 "	 15 	 13 	 7 	 5 	 6 	 46 	" 230,441 "	" 10,638,761 "								
TX	HARRIS	HOUSTON	 large 	" 2,545,662 "	" 11,864 "	" 28,029 "	 0 	" 21,392 "	 15 	 12 	 8 	 5 	 6 	 47 	" 997,906 "	" 46,425,257 "								
TX	BEXAR	SAN ANTONIO	 large 	" 1,308,200 "	" 11,692 "	" 30,279 "	 0 	" 22,409 "	 15 	 12 	 9 	 5 	 6 	 47 	" 492,088 "	" 23,078,554 "								
TX	TARRANT	FORT WORTH	 large 	" 678,401 "	" 11,099 "	" 32,469 "	 0 	" 23,274 "	 16 	 12 	 8 	 5 	 6 	 47 	" 264,320 "	" 12,414,062 "								
TN	SHELBY	MEMPHIS	 large 	" 729,306 "	" 14,574 "	" 43,151 "	 0 	" 18,836 "	 13 	 16 	 8 	 5 	 5 	 47 	" 298,963 "	" 14,053,545 "								
MI	WAYNE	DETROIT	 large 	" 892,541 "	" 11,023 "	" 91,254 "	 3 	" 15,253 "	 11 	 19 	 8 	 5 	 5 	 47 	" 352,240 "	" 16,625,660 "								
NC	MECKLENBURG	CHARLOTTE	 large 	" 604,030 "	" 12,697 "	" 39,112 "	 18 	" 20,788 "	 15 	 13 	 7 	 6 	 7 	 48 	" 257,578 "	" 12,239,911 "								
OK	OKLAHOMA	OKLAHOMA CITY	 large 	" 525,210 "	" 12,963 "	" 42,810 "	 0 	" 20,322 "	 14 	 17 	 7 	 5 	 5 	 48 	" 268,527 "	" 12,801,214 "								
OH	HAMILTON	CINCINNATI	 large 	" 815,386 "	" 10,925 "	" 56,187 "	 15 	" 19,157 "	 14 	 16 	 7 	 5 	 6 	 48 	" 367,561 "	" 17,544,215 "								
TX	TRAVIS	AUSTIN	 large 	" 739,980 "	" 11,462 "	" 28,222 "	 0 	" 23,083 "	 16 	 12 	 7 	 6 	 6 	 48 	" 325,582 "	" 15,567,861 "								
TX	EL PASO	EL PASO	 large 	" 634,327 "	" 12,629 "	" 39,408 "	 0 	" 22,856 "	 15 	 14 	 10 	 5 	 5 	 48 	" 212,170 "	" 10,244,945 "								
